Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,1996-97,82,117,298,39.3,117
2001,1997-98,82,134,368,36.4,251
2002,1998-99,50,74,208,35.6,325
2003,1999-00,82,172,407,42.3,497
2004,2000-01,82,202,467,43.3,699
2005,2001-02,69,229,528,43.4,928
2007,2002-03,76,201,533,74.6,1129
2009,2003-04,56,148,378,39.2,1277
2010,2004-05,78,209,556,37.6,1486
2011,2005-06,78,269,653,41.2,1755
2012,2006-07,55,165,443,37.2,1920
2013,2007-08,73,180,452,39.8,2100
2014,2008-09,79,199,486,40.9,2299
2015,2009-10,80,145,399,36.3,2444
2016,2010-11,80,168,378,44.4,2612
2017,2011-12,46,106,234,45.3,2718
2018,2012-13,79,139,332,41.9,2857
2019,2013-14,73,116,309,37.5,2973
