Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2008-09,78,131,337,38.9,131
2001,2009-10,62,119,321,37.1,250
2002,2010-11,56,106,291,36.4,356
2003,2011-12,9,10,40,25.0,366
2004,2012-13,42,56,173,32.4,422
2005,2013-14,64,101,258,39.1,523
2006,2014-15,61,141,315,44.8,664
2007,2015-16,45,113,294,38.4,777
2008,2016-17,75,246,661,37.2,1023
2009,2017-18,69,218,608,35.9,1241
2010,2018-19,68,216,600,36.0,1457
2011,2019-20,36,96,303,31.7,1553
2012,2020-21,27,69,210,32.9,1622
