Season Made Up,Season,Games Played,Season 3PM,Season 3PA,Season 3P %,Total 3PM
2000,2009-10,80,166,380,43.7,166
2001,2010-11,74,151,342,44.2,317
2002,2011-12,26,55,121,45.5,372
2003,2012-13,78,272,600,45.3,644
2004,2013-14,78,261,615,42.4,905
2005,2014-15,80,286,646,44.3,1191
2006,2015-16,79,402,886,45.4,1593
2007,2016-17,79,324,789,41.1,1917
2008,2017-18,51,212,501,42.3,2129
2009,2018-19,69,354,810,43.7,2483
2010,2019-20,5,12,49,24.5,2495
2011,2020-21,63,337,801,42.1,2832
2011,Projection 2020-21,63,337,801,42.1,2832
2012,Projection 2021-22,63.46,234.81,546.0644007,0.43,3066.81
