0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Shot Chart Detail,0020000012,3,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,11,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,63,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,14,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,10,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,19,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,9,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,7,135,1,0,20001031,POR,LAL
Shot Chart Detail,0020000012,24,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,8,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,63,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,4,39,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,28,1,0,20001031,POR,LAL
Shot Chart Detail,0020000012,67,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,4,19,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,15,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,163,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,5,43,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,34,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,171,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,4,18,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,51,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,184,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,3,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,15,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,191,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,3,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,-4,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,198,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,2,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,30,68,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,228,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,11,42,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
Shot Chart Detail,0020000012,246,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,9,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,POR,LAL
